profile_name,zstar,Csurf,Cmin,Zmin,Cdeep,r2,rmse,pcterr,npoints,Cmeasure
40A4842,19.824620535268906,1.3558194137671895,0.2,36.97398292714052,0.210000000089507,0.9796376015885835,0.1468983134773998,-0.018983981930552174,5.0,OC
40A4844,35.06761569685554,0.79,0.23,43.27181191384745,0.23,1.0,5.551115123125783e-17,4.5131017261185224e-17,3.0,OC
40A4845,12.905966041897026,1.665289991280267,0.08,34.68376709725518,0.11333333334938384,0.9851372415088909,0.1703319454752483,0.011820056391246078,6.0,OC
40A4846,10.764614816498073,1.436446880911297,0.14,22.973081626850828,0.17000000009571303,0.9714328602243354,0.19922556637244854,-0.014106531675770676,7.0,OC
40A4852,81.00176885298183,0.3876418108027302,0.1,78.72718291159926,0.14666666691066083,0.5693603644018458,0.19006564779215432,0.11210207390627909,7.0,OC
40A4853,13.97443003179714,0.74,0.06,28.834215707815524,0.09400000010163712,0.994511149228131,0.04381780460041329,0.039206350021309753,7.0,OC
40A4854,15.925227767325406,0.62,0.07,28.431764255077393,0.10400000002210512,0.992334139819178,0.04147288270665543,0.02921459508691155,7.0,OC
40A4859,15.420279540830217,0.48,0.05,26.247587348173973,0.0875,0.9532272552290516,0.07794228634059948,0.1273148148148148,6.0,OC
40A4866,34.33496767922151,1.5883851564964138,0.08,81.02495665736734,0.15000000000000013,0.9882750270980766,0.14920215037289017,0.06671046845130847,7.0,OC
40A4867,18.43225521409256,1.7843350313383142,0.07,44.071669502713796,0.16333333337425526,0.9685670569542952,0.26237507257160686,0.11060999322295506,6.0,OC
40A4895,56.38333467138887,1.3454511880449755,0.13,131.76504754497137,0.13000000002457546,0.9722593635088309,0.18064311904272828,0.08104970887780072,6.0,OC
40A4896,48.36270183448162,1.443692447506064,0.17,103.45559948716867,0.1700000000022872,0.9867799241910378,0.12143941053267741,0.001195586771230321,6.0,OC
40A4902,122.98820669290339,1.6104574691910043,0.46,152.94394068120903,0.4973848940329704,0.9844293693682459,0.12659733023539915,0.011877237314051997,6.0,OC
40A4903,28.8666001075009,2.006363750805624,0.43,42.516252605264945,0.4600000002645546,0.9553286803597654,0.3134322746935514,0.024103621897462263,6.0,OC
40A4914,3.865048682706033,7.8,0.25,12.618554996743367,0.2980000000390534,0.9997074604216472,0.11781341180018515,0.020519754151793784,7.0,OC
40A4915,31.50008062981171,0.71,0.06,77.83419207596494,0.06,0.9999999999999998,0.0,0.0,3.0,OC
40A4916,32.623860730622965,1.11,0.16,63.19050905662982,0.16000000000000003,0.9999999999999998,0.0,0.0,3.0,OC
40A4925,18.83881949788093,1.43,0.2,29.928778916074076,0.29200000000007326,0.9823614632379575,0.1395707705789432,0.03507951043684147,7.0,OC
40A4926,38.30229173147725,1.1127556387141888,0.13,78.4975537379771,0.14333333349044933,0.9131082845062588,0.2716662562005196,-0.015392870691666297,7.0,OC
40A4929,47.569388829363874,0.4967439795731587,0.1,76.24919100529625,0.10000000003027955,0.9824691789045745,0.047654001437178885,-0.013868171268370727,6.0,OC
40A4930,49.607940154752065,0.459712209786642,0.02,114.564887504068,0.05211901334635141,0.912310471522899,0.10990529944835727,0.20223293060522754,7.0,OC
40A4934,19.95494190844078,0.5935178983488396,0.07,38.78075566643472,0.08500000000062018,0.993682448840126,0.037365253105855784,0.026607381952545726,7.0,OC
40A4935,10.065993721139833,1.1426274150601574,0.03,26.92459408523723,0.07875000019272634,0.9753055787465517,0.16130271746961747,0.19274048000165325,11.0,OC
40A4936,16.44855579716743,0.9695721713502318,0.04,41.826004463431296,0.07625000004483111,0.9748393316585446,0.13951070936128163,0.09185339390123774,12.0,OC
40A4937,25.46980775110457,0.6536167038721548,0.05,60.8263972869167,0.06000000001044899,0.9963205053827487,0.03345204550594627,0.008647725598326494,7.0,OC
40A4938,36.46223565784409,0.69,0.19,22.920477069730744,0.3680000000675128,0.3355237475601823,0.41842562063047717,0.15074820138583783,7.0,OC
40A4939,137.95616983625303,0.5499999789125987,0.07,12.226709666173967,0.5033525128982186,0.0006329195675480179,1.7592043665562855,1.199780290554138,10.0,OC
40A4940,62.01876379260545,0.7139366824908163,0.07,144.02611537643833,0.07000000001826047,0.8015494133858448,0.3158031172002018,0.21139612002403507,8.0,OC
40A4941,72.02892512661086,0.9675703847302337,0.25,97.47870734573421,0.2500000002301668,0.9171404082452869,0.17376082655428154,0.0037019382373449606,5.0,OC
40A4943,10.716568272474975,2.36,0.21,25.926694006932127,0.20999999999999988,1.0,1.5700924586837752e-16,-2.603336818204732e-16,3.0,OC
40A4945,33.38606669047086,1.194376274069868,0.25,51.08760652338655,0.2585714285773263,0.9803751445007653,0.13046469213294073,0.020519744546396945,10.0,OC
40A4946,25.716247626025478,1.1877333931695895,0.24,38.57622898034799,0.26500000000550256,0.9855520062792954,0.10692195829099368,0.004059775315256229,9.0,OC
40A4949,9.980073525301314,1.7,0.08,25.657262836746757,0.13000000000002512,0.9967401362833348,0.07874007874011811,0.07850877192995565,5.0,OC
40A4950,13.592227279766911,1.07,0.04,38.072190946212295,0.06500000000015947,0.9982114751752752,0.035355339059327376,0.08680555555699528,4.0,OC
40A4951,42.51828939880285,1.9258680014757812,0.13,113.65811429729617,0.13502395785332158,0.9571976463902399,0.3161942288020388,-0.0026561197254194556,6.0,OC
40A4952,60.2925302442594,1.2813828826636622,0.14,133.49084105597316,0.14000000004943935,0.9516289811519755,0.22972965727772343,0.0720999892051178,6.0,OC
40A4955,15.10857141048359,1.9807932955383856,0.13,69.91406342186784,0.0537330780393737,0.9984021508075681,0.0798694642432228,-0.18981273495352383,3.0,OC
40A4960,47.87116912657888,0.45875755617868125,0.05,106.10639199005286,0.0500000000492021,0.9466278676383469,0.08244189902815165,-0.006344122030640983,7.0,OC
40A4963,123.75912366124051,1.3181327504104754,0.2,209.61264608868498,0.2535619345028064,0.9233546640624174,0.3303211344126476,0.060981956946044726,9.0,OC
40A4964,111.60837568381676,1.5795243040339637,0.44,115.0690710383622,0.5633333334347363,0.9447354776366316,0.25791056831857934,0.00946329084090002,9.0,OC
40A4965,19.92006370520698,1.0945866994065248,0.11,77.61495391654957,0.028748498335372425,0.9928226574472502,0.08412633157609765,-0.22882844100013378,3.0,OC
40A4969,25.47925302303067,0.96,0.21,37.92773346701785,0.2166666666666667,0.9993722536095414,0.016329931618554533,0.0011042097998620784,5.0,OC
40A4970,21.961315182674387,0.99,0.17,38.693784102391774,0.16999999999999998,1.0,9.614813431917819e-17,-1.1850103441207788e-16,4.0,OC
40A4971,24.161710807913522,0.7006432279713528,0.02,73.58306260642195,0.03333333335210193,0.9564469981093882,0.13132296380237712,0.033006331403838206,7.0,OC
40A4972,9.414372491470372,1.23,0.06,21.9098592069921,0.12000000005702927,0.9919039928035497,0.0938083151964686,0.08677248718340597,9.0,OC
40A4973,17.53812095521668,0.9711017956926357,0.06,42.378448261642255,0.08666666667160787,0.9790621260140063,0.12167327432003974,0.0664951955175303,9.0,OC
40A4974,54.55867223861155,0.38272422773887416,0.05,111.04281235113659,0.050000000003687664,0.9814173455226342,0.0412236065047589,0.03183877059052138,7.0,OC
40A4979,29.25994885715839,0.6141585865685841,0.02,67.09653865060667,0.061999999972781834,0.9843377973273306,0.06660984617725862,0.17848379805139347,9.0,OC
40A4980,21.2710856249798,0.7475622878712669,0.03,50.99338467049693,0.06800000003545484,0.9702313532425265,0.1151549278704992,0.07581717376264925,9.0,OC
40A4983,12.414080014745117,0.68,0.08,21.026708764753053,0.12500000024327512,0.9757696693272524,0.08246211251235322,0.045824316220517046,10.0,OC
40A4984,16.956132446574838,0.66,0.07,30.000258152355244,0.11250000000000002,0.9861219051848568,0.06123724356957946,0.03620129870129878,10.0,OC
40A4985,5.31368049271677,8.799975580553463,0.28,61.607375529274634,0.00015997825845905233,0.999249506459773,0.2798400898772695,-0.3330956122317722,3.0,OC
40A4989,55.243914608659885,1.1035292517112467,0.29,88.91597223697676,0.3657956032076593,0.9573126395268279,0.1170606995677452,0.053984421054550445,3.0,OC
40A4992,20.933254747661135,0.71,0.04,48.49753090699811,0.07000000000201462,0.9935460738615993,0.042426406871192854,0.11250000001762814,4.0,OC
40A4996,7.59036122602038,2.18,0.06,23.14392333705331,0.10333333333334586,0.9962988415913184,0.11718930554164632,0.13981481481492275,8.0,OC
40A4998,13.126359133980532,3.48,0.38,29.069849160925585,0.3799999999999999,1.0,1.5700924586837752e-16,-1.4808309989592932e-16,3.0,OC
40A4999,12.23394808509816,0.64,0.09,19.03838923828655,0.13500000002407356,0.9582323034806415,0.09433981132056604,0.08645833346763383,6.0,OC
40A5000,33.68117558018262,0.7497619977989689,0.03,91.19962434806233,0.050000000000598684,0.9894533518649358,0.06685878769484918,0.028092567745561046,7.0,OC
40A5001,21.19687588548525,1.7212350790302335,0.09,57.35588991702421,0.1150000000694777,0.9866363746511141,0.16283035178508798,-0.014165462630788004,6.0,OC
40A5007,13.699869422096514,0.9046619874083197,0.06,32.39895985585758,0.08500000013904378,0.9824769777571715,0.10247728628043054,0.07100682112775697,9.0,OC
40A5008,24.070979580896957,0.5895750953731781,0.04,54.214290179457564,0.06200000000174404,0.987114015918243,0.05844386492063654,0.008906152960560984,9.0,OC
40A5011,8.690814067476067,3.379999999941088,0.06,29.38102520697856,0.11500000005620321,0.9961338074760155,0.19339079605813714,0.1959821433421593,10.0,OC
40A5013,12.573758792520106,1.142740522653474,0.0,48.57407474283969,0.024000000070621835,0.9967927809798944,0.059735284116008876,0.15378295511073478,9.0,OC
