profile_name,failcode,reason
91P1170,-2,Less than 3 layers (in zstarfunc)
91P1202,-3,No available layers
91P1203,-3,No available layers
92P0089,-2,Less than 3 layers (in zstarfunc)
92P0221,-2,Less than 3 layers (in zstarfunc)
92P0257,-3,No available layers
92P0431,-3,No available layers
92P0432,-3,No available layers
92P0471,-3,No available layers
92P0822,-2,Less than 3 layers (in zstarfunc)
92P0823,-2,Less than 3 layers (in zstarfunc)
92P0890,-3,No available layers
92P0900,-3,No available layers
92P0901,-3,No available layers
92P0902,-3,No available layers
92P0904,-3,No available layers
92P0975,-3,No available layers
92P0976,-3,No available layers
92P0977,-3,No available layers
92P0987,-3,No available layers
92P0988,-3,No available layers
93P0143,-2,Less than 3 layers (in zstarfunc)
93P0145,-2,Less than 3 layers (in zstarfunc)
93P0293,-3,No available layers
93P0440,-2,Less than 3 layers (in zstarfunc)
93P0447,-2,Less than 3 layers (in zstarfunc)
93P0502,-3,No available layers
93P0646,-2,Less than 3 layers (in zstarfunc)
93P0647,-2,Less than 3 layers (in zstarfunc)
93P0649,-2,Less than 3 layers (in zstarfunc)
93P0651,-2,Less than 3 layers (in zstarfunc)
93P0653,-2,Less than 3 layers (in zstarfunc)
94P0079,-3,No available layers
94P0322,-3,No available layers
94P0326,-3,No available layers
94P0328,-3,No available layers
94P0333,-3,No available layers
94P0340,-3,No available layers
94P0358,-3,No available layers
94P0387,-3,No available layers
94P0705,-3,No available layers
95P0187,-2,Less than 3 layers (in zstarfunc)
95P0189,-2,Less than 3 layers (in zstarfunc)
95P0195,-3,No available layers
95P0200,-2,Less than 3 layers (in zstarfunc)
96P0261,-2,Less than 3 layers (in zstarfunc)
96P0305,-2,Less than 3 layers (in zstarfunc)
97P0054,-3,No available layers
97P0055,-3,No available layers
97P0056,-3,No available layers
97P0058,-3,No available layers
97P0059,-3,No available layers
97P0060,-3,No available layers
97P0291,-3,No available layers
97P0293,-3,No available layers
97P0386,-3,No available layers
97P0510,-2,Less than 3 layers (in zstarfunc)
97P0586,-2,Less than 3 layers (in zstarfunc)
98P0131,-2,Less than 3 layers (in zstarfunc)
98P0136,-1,No mineral soil
98P0269,-2,Less than 3 layers (in zstarfunc)
98P0376,-2,Less than 3 layers (in zstarfunc)
98P0424,-2,Less than 3 layers (in zstarfunc)
98P0425,-2,Less than 3 layers (in zstarfunc)
98P0562,-2,Less than 3 layers (in zstarfunc)
99P0131,-2,Less than 3 layers (in zstarfunc)
99P0341,-2,Less than 3 layers (in zstarfunc)
99P0342,-2,Less than 3 layers (in zstarfunc)
99P0343,-2,Less than 3 layers (in zstarfunc)
99P0345,-2,Less than 3 layers (in zstarfunc)
ISCN:S2010GA023002:53441,-2,Less than 3 layers (in zstarfunc)
S03PW-002-001C,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_104.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_104.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_106.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_106.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_110.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_110.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_112.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_112.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_116.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_116.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_120.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly_F_120.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly108.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly108.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly114.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly114.2000,-2,Less than 3 layers (in zstarfunc)
Loblolly118.1986,-2,Less than 3 layers (in zstarfunc)
Loblolly118.2000,-2,Less than 3 layers (in zstarfunc)
GCPL 5,-1,No mineral soil
GCPU 5b,-2,Less than 3 layers (in zstarfunc)
GCPU 5m,-2,Less than 3 layers (in zstarfunc)
danl198700004,-3,No available layers
feld199100011,-3,No available layers
feld199100035,-3,No available layers
feld199100039,-3,No available layers
feld199100044,-3,No available layers
uark196200167,-3,No available layers
uark196500018,-3,No available layers
uark196500024,-3,No available layers
uark196500028,-3,No available layers
uark196500561,-3,No available layers
uark196700475,-3,No available layers
uark196900350,-3,No available layers
uark197000368,-3,No available layers
uark197000370,-3,No available layers
uark197000371,-3,No available layers
uark197000371a,-3,No available layers
uark197000371b,-3,No available layers
uark197710569,-3,No available layers
uark197720569,-3,No available layers
uark197730569,-3,No available layers
20015,-2,Less than 3 layers (in zstarfunc)
20016,-2,Less than 3 layers (in zstarfunc)
21001,-1,No mineral soil
21002,-1,No mineral soil
39007,-2,Less than 3 layers (in zstarfunc)
39008,-2,Less than 3 layers (in zstarfunc)
39009,-2,Less than 3 layers (in zstarfunc)
39010,-2,Less than 3 layers (in zstarfunc)
39011,-2,Less than 3 layers (in zstarfunc)
39017,-2,Less than 3 layers (in zstarfunc)
39018,-2,Less than 3 layers (in zstarfunc)
39019,-2,Less than 3 layers (in zstarfunc)
39020,-2,Less than 3 layers (in zstarfunc)
39021,-2,Less than 3 layers (in zstarfunc)
39032,-2,Less than 3 layers (in zstarfunc)
39033,-2,Less than 3 layers (in zstarfunc)
39034,-2,Less than 3 layers (in zstarfunc)
39035,-2,Less than 3 layers (in zstarfunc)
39036,-2,Less than 3 layers (in zstarfunc)
39037,-2,Less than 3 layers (in zstarfunc)
39040,-2,Less than 3 layers (in zstarfunc)
39043,-2,Less than 3 layers (in zstarfunc)
39046,-2,Less than 3 layers (in zstarfunc)
60138,-2,Less than 3 layers (in zstarfunc)
60146,-2,Less than 3 layers (in zstarfunc)
60168,-2,Less than 3 layers (in zstarfunc)
62222,-2,Less than 3 layers (in zstarfunc)
62280,-2,Less than 3 layers (in zstarfunc)
201001,-2,Less than 3 layers (in zstarfunc)
201002,-2,Less than 3 layers (in zstarfunc)
201003,-2,Less than 3 layers (in zstarfunc)
201004,-2,Less than 3 layers (in zstarfunc)
201005,-2,Less than 3 layers (in zstarfunc)
201006,-2,Less than 3 layers (in zstarfunc)
201007,-2,Less than 3 layers (in zstarfunc)
1001014,-2,Less than 3 layers (in zstarfunc)
1001015,-2,Less than 3 layers (in zstarfunc)
1001017,-2,Less than 3 layers (in zstarfunc)
1002015,-2,Less than 3 layers (in zstarfunc)
1003011,-2,Less than 3 layers (in zstarfunc)
1003062,-2,Less than 3 layers (in zstarfunc)
1003063,-2,Less than 3 layers (in zstarfunc)
1003066,-2,Less than 3 layers (in zstarfunc)
1003078,-2,Less than 3 layers (in zstarfunc)
1003092,-2,Less than 3 layers (in zstarfunc)
1003107,-2,Less than 3 layers (in zstarfunc)
1014002,-2,Less than 3 layers (in zstarfunc)
1014003,-2,Less than 3 layers (in zstarfunc)
2002001,-2,Less than 3 layers (in zstarfunc)
2002005,-2,Less than 3 layers (in zstarfunc)
2002006,-2,Less than 3 layers (in zstarfunc)
2002010,-2,Less than 3 layers (in zstarfunc)
2002011,-2,Less than 3 layers (in zstarfunc)
2002015,-2,Less than 3 layers (in zstarfunc)
2002016,-2,Less than 3 layers (in zstarfunc)
2002020,-2,Less than 3 layers (in zstarfunc)
2003005,-2,Less than 3 layers (in zstarfunc)
2003007,-2,Less than 3 layers (in zstarfunc)
2003009,-2,Less than 3 layers (in zstarfunc)
